"Index.year","Reference.year..main.","Protocol.order","Country","categoria","valor","col"
2020,2018,19,"NL","Gender.Equality.Index",74.1,"white"
2020,2018,20,"AT","Gender.Equality.Index",66.5,"white"
2020,2018,21,"PL","Gender.Equality.Index",55.8,"black"
2020,2018,22,"PT","Gender.Equality.Index",61.3,"black"
2020,2018,23,"RO","Gender.Equality.Index",54.4,"black"
2020,2018,24,"SI","Gender.Equality.Index",67.7,"white"
2020,2018,25,"SK","Gender.Equality.Index",55.5,"black"
2020,2018,26,"FI","Gender.Equality.Index",74.7,"white"
2020,2018,27,"SE","Gender.Equality.Index",83.8,"white"
2021,2019,0,"EU","Gender.Equality.Index",68,"white"
2021,2019,1,"BE","Gender.Equality.Index",72.7,"white"
2021,2019,2,"BG","Gender.Equality.Index",59.9,"black"
2021,2019,3,"CZ","Gender.Equality.Index",56.7,"black"
2021,2019,4,"DK","Gender.Equality.Index",77.8,"white"
2021,2019,5,"DE","Gender.Equality.Index",68.6,"white"
2021,2019,6,"EE","Gender.Equality.Index",61.6,"black"
2021,2019,7,"IE","Gender.Equality.Index",73.1,"white"
2021,2019,8,"EL","Gender.Equality.Index",52.5,"black"
2021,2019,9,"ES","Gender.Equality.Index",73.7,"white"
2021,2019,10,"FR","Gender.Equality.Index",75.5,"white"
2021,2019,11,"HR","Gender.Equality.Index",59.2,"black"
2021,2019,12,"IT","Gender.Equality.Index",63.8,"black"
2021,2019,13,"CY","Gender.Equality.Index",57,"black"
2021,2019,14,"LV","Gender.Equality.Index",62.1,"black"
2021,2019,15,"LT","Gender.Equality.Index",58.4,"black"
2021,2019,16,"LU","Gender.Equality.Index",72.4,"white"
2021,2019,17,"HU","Gender.Equality.Index",53.4,"black"
2021,2019,18,"MT","Gender.Equality.Index",65,"black"
2021,2019,19,"NL","Gender.Equality.Index",75.9,"white"
2021,2019,20,"AT","Gender.Equality.Index",68,"white"
2021,2019,21,"PL","Gender.Equality.Index",56.6,"black"
2021,2019,22,"PT","Gender.Equality.Index",62.2,"black"
2021,2019,23,"RO","Gender.Equality.Index",54.5,"black"
2021,2019,24,"SI","Gender.Equality.Index",67.6,"white"
2021,2019,25,"SK","Gender.Equality.Index",56,"black"
2021,2019,26,"FI","Gender.Equality.Index",75.3,"white"
2021,2019,27,"SE","Gender.Equality.Index",83.9,"white"
2022,2020,0,"EU","Gender.Equality.Index",68.6,"white"
2022,2020,1,"BE","Gender.Equality.Index",74.2,"white"
2022,2020,2,"BG","Gender.Equality.Index",60.7,"black"
2022,2020,3,"CZ","Gender.Equality.Index",57.2,"black"
2022,2020,4,"DK","Gender.Equality.Index",77.8,"white"
2022,2020,5,"DE","Gender.Equality.Index",68.7,"white"
2022,2020,6,"EE","Gender.Equality.Index",61,"black"
2022,2020,7,"IE","Gender.Equality.Index",74.3,"white"
2022,2020,8,"EL","Gender.Equality.Index",53.4,"black"
2022,2020,9,"ES","Gender.Equality.Index",74.6,"white"
2022,2020,10,"FR","Gender.Equality.Index",75.1,"white"
2022,2020,11,"HR","Gender.Equality.Index",60.7,"black"
2022,2020,12,"IT","Gender.Equality.Index",65,"black"
2022,2020,13,"CY","Gender.Equality.Index",57.3,"black"
2022,2020,14,"LV","Gender.Equality.Index",61.4,"black"
2022,2020,15,"LT","Gender.Equality.Index",60.6,"black"
2022,2020,16,"LU","Gender.Equality.Index",73.5,"white"
2022,2020,17,"HU","Gender.Equality.Index",54.2,"black"
2022,2020,18,"MT","Gender.Equality.Index",65.6,"black"
2022,2020,19,"NL","Gender.Equality.Index",77.3,"white"
2022,2020,20,"AT","Gender.Equality.Index",68.8,"white"
2022,2020,21,"PL","Gender.Equality.Index",57.7,"black"
2022,2020,22,"PT","Gender.Equality.Index",62.8,"black"
2022,2020,23,"RO","Gender.Equality.Index",53.7,"black"
2022,2020,24,"SI","Gender.Equality.Index",67.5,"white"
2022,2020,25,"SK","Gender.Equality.Index",56,"black"
2022,2020,26,"FI","Gender.Equality.Index",75.4,"white"
2022,2020,27,"SE","Gender.Equality.Index",83.9,"white"
2013,2010,0,"EU","WORK",69.7,"black"
2013,2010,1,"BE","WORK",72.7,"white"
2013,2010,2,"BG","WORK",67.9,"black"
2013,2010,3,"CZ","WORK",64.9,"black"
2013,2010,4,"DK","WORK",79.8,"white"
2013,2010,5,"DE","WORK",70,"black"
2013,2010,6,"EE","WORK",71.2,"black"
2013,2010,7,"IE","WORK",73.5,"white"
2013,2010,8,"EL","WORK",63.6,"black"
2013,2010,9,"ES","WORK",71.8,"black"
2013,2010,10,"FR","WORK",71.5,"black"
2013,2010,11,"HR","WORK",67.2,"black"
2013,2010,12,"IT","WORK",61.3,"black"
2013,2010,13,"CY","WORK",70.5,"black"
2013,2010,14,"LV","WORK",72.6,"white"
2013,2010,15,"LT","WORK",72.6,"white"
2013,2010,16,"LU","WORK",70.9,"black"
2013,2010,17,"HU","WORK",66,"black"
2013,2010,18,"MT","WORK",65.1,"black"
2013,2010,19,"NL","WORK",76.3,"white"
2013,2010,20,"AT","WORK",75.3,"white"
2013,2010,21,"PL","WORK",66.3,"black"
2013,2010,22,"PT","WORK",71.4,"black"
2013,2010,23,"RO","WORK",67.9,"black"
2013,2010,24,"SI","WORK",71.9,"black"
2013,2010,25,"SK","WORK",64.8,"black"
